id_localidad,codigo_postal,nombre,created_at,updated_at
1,17741,San Alonso los altos,2024-06-25 22:02:45,2024-06-25 22:02:45
2,04797-5190,Vieja Grecia,2024-06-25 22:02:45,2024-06-25 22:02:45
3,25585,San Gabriela los altos,2024-06-25 22:02:45,2024-06-25 22:02:45
4,61650-8917,San Ignacio los altos,2024-06-25 22:02:45,2024-06-25 22:02:45
5,62280-9920,San Leonel los bajos,2024-06-25 22:02:45,2024-06-25 22:02:45
6,79897,San Ana Luisa los bajos,2024-06-25 22:02:45,2024-06-25 22:02:45
7,14507,Vieja Alemania,2024-06-25 22:02:45,2024-06-25 22:02:45
8,84985,Nueva Jordania,2024-06-25 22:02:45,2024-06-25 22:02:45
9,57754-8687,San Maximiliano los altos,2024-06-25 22:02:45,2024-06-25 22:02:45
10,34302-5436,San Pablo los altos,2024-06-25 22:02:45,2024-06-25 22:02:45
11,34167,Vieja Malawi,2024-06-25 22:02:45,2024-06-25 22:02:45
12,50337-3264,San Sessa los bajos,2024-06-25 22:02:45,2024-06-25 22:02:45
13,22317,Nueva Timor-Leste,2024-06-25 22:02:45,2024-06-25 22:02:45
14,14316,Nueva Jamaica,2024-06-25 22:02:45,2024-06-25 22:02:45
15,27131,Vieja Nigeria,2024-06-25 22:02:45,2024-06-25 22:02:45
